"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","1.780","1.670","1.780","1.580","4.07M","5.33%"
"04/27/2023","1.690","1.640","1.770","1.530","4.56M","6.29%"
"04/26/2023","1.590","1.510","1.730","1.510","10.23M","14.39%"
"04/25/2023","1.390","1.420","1.470","1.360","2.52M","-2.80%"
"04/24/2023","1.430","1.480","1.550","1.380","1.94M","-1.38%"
"04/21/2023","1.450","1.400","1.530","1.350","3.40M","1.40%"
"04/20/2023","1.430","1.440","1.600","1.400","4.32M","-2.05%"
"04/19/2023","1.460","1.500","1.530","1.411","2.29M","-6.41%"
"04/18/2023","1.560","1.540","1.610","1.480","4.80M","8.33%"
"04/17/2023","1.440","1.350","1.500","1.300","3.88M","0.00%"
"04/14/2023","1.440","1.610","1.610","1.370","4.92M","-5.26%"
"04/13/2023","1.520","1.380","1.590","1.370","4.88M","12.59%"
"04/12/2023","1.350","1.500","1.670","1.250","6.48M","-5.59%"
"04/11/2023","1.430","1.220","1.500","1.160","8.78M","23.28%"
"04/10/2023","1.160","1.000","1.190","0.990","4.43M","16.12%"
"04/06/2023","0.999","0.921","1.000","0.880","2.39M","6.30%"
"04/05/2023","0.940","0.970","0.975","0.910","1.59M","-2.05%"
"04/04/2023","0.960","1.030","1.040","0.920","1.81M","-6.84%"
"04/03/2023","1.030","0.950","1.040","0.880","3.97M","9.83%"
"03/31/2023","0.938","0.795","0.955","0.792","5.91M","18.26%"
"03/30/2023","0.793","0.790","0.800","0.750","1.59M","2.20%"
"03/29/2023","0.776","0.780","0.800","0.746","1.52M","2.28%"
"03/28/2023","0.759","0.755","0.777","0.700","1.09M","0.18%"
"03/27/2023","0.757","0.777","0.785","0.710","2.33M","-3.23%"
"03/24/2023","0.783","0.800","0.810","0.745","2.14M","-1.20%"
"03/23/2023","0.792","0.745","0.809","0.730","2.27M","7.46%"
"03/22/2023","0.737","0.750","0.819","0.717","5.94M","-0.94%"
"03/21/2023","0.744","0.652","0.755","0.645","6.16M","16.63%"
"03/20/2023","0.638","0.657","0.660","0.591","6.24M","5.00%"
"03/17/2023","0.608","0.575","0.641","0.535","10.48M","12.38%"
"03/16/2023","0.541","0.563","0.570","0.539","2.28M","-3.31%"
"03/15/2023","0.559","0.610","0.613","0.536","2.28M","-7.94%"
"03/14/2023","0.607","0.650","0.680","0.590","2.08M","-4.48%"
"03/13/2023","0.636","0.608","0.640","0.549","2.94M","8.96%"
"03/10/2023","0.584","0.620","0.626","0.574","1.91M","-5.89%"
"03/09/2023","0.620","0.680","0.689","0.611","1.43M","-7.94%"
"03/08/2023","0.674","0.700","0.730","0.660","2.09M","-0.96%"
"03/07/2023","0.680","0.666","0.690","0.650","1.43M","3.82%"
"03/06/2023","0.655","0.677","0.677","0.620","2.02M","0.49%"
"03/03/2023","0.652","0.654","0.690","0.637","1.69M","-1.24%"
"03/02/2023","0.660","0.599","0.680","0.595","6.16M","8.82%"
"03/01/2023","0.607","0.650","0.674","0.592","1.34M","-5.94%"
"02/28/2023","0.645","0.637","0.690","0.607","1.48M","2.56%"
"02/27/2023","0.629","0.687","0.696","0.625","1.08M","-7.53%"
"02/24/2023","0.680","0.680","0.700","0.657","793.18K","-2.06%"
"02/23/2023","0.694","0.710","0.710","0.667","998.77K","0.64%"
"02/22/2023","0.690","0.695","0.710","0.650","1.98M","2.48%"
"02/21/2023","0.673","0.639","0.688","0.603","2.81M","6.59%"
"02/17/2023","0.632","0.670","0.676","0.610","1.87M","-5.66%"
"02/16/2023","0.669","0.650","0.710","0.619","2.09M","2.98%"
"02/15/2023","0.650","0.613","0.653","0.600","3.07M","8.33%"
"02/14/2023","0.600","0.641","0.653","0.567","4.63M","-6.98%"
"02/13/2023","0.645","0.660","0.670","0.630","841.51K","1.19%"
"02/10/2023","0.637","0.667","0.677","0.626","1.35M","-3.96%"
"02/09/2023","0.664","0.720","0.725","0.650","1.18M","-6.32%"
"02/08/2023","0.709","0.720","0.720","0.670","1.87M","1.50%"
"02/07/2023","0.698","0.650","0.730","0.624","4.50M","8.03%"
"02/06/2023","0.646","0.697","0.697","0.630","4.60M","-5.22%"
"02/03/2023","0.682","0.691","0.755","0.670","5.69M","1.67%"
"02/02/2023","0.670","0.702","0.750","0.660","18.15M","-34.90%"
"02/01/2023","1.030","0.980","1.060","0.960","1.11M","5.39%"
"01/31/2023","0.977","1.000","1.040","0.961","1.12M","-6.03%"
"01/30/2023","1.040","1.110","1.170","1.030","1.29M","-6.31%"
"01/27/2023","1.110","1.060","1.130","1.040","812.47K","5.71%"
"01/26/2023","1.050","1.020","1.140","1.007","1.25M","3.96%"
"01/25/2023","1.010","0.935","1.040","0.905","1.10M","5.96%"
"01/24/2023","0.953","0.896","0.970","0.860","892.44K","4.80%"
"01/23/2023","0.910","0.940","0.990","0.880","900.52K","3.22%"
"01/20/2023","0.881","0.872","0.890","0.840","957.67K","5.91%"
"01/19/2023","0.832","0.859","0.871","0.790","668.29K","-7.19%"
"01/18/2023","0.896","1.020","1.030","0.805","1.31M","-12.13%"
"01/17/2023","1.020","0.940","1.020","0.930","1.64M","15.91%"
"01/13/2023","0.880","0.830","0.950","0.802","1.71M","7.17%"
"01/12/2023","0.821","0.790","0.850","0.750","1.50M","8.77%"
"01/11/2023","0.755","0.750","0.790","0.734","673.17K","2.01%"
"01/10/2023","0.740","0.703","0.780","0.685","607.03K","6.06%"
"01/09/2023","0.698","0.730","0.730","0.690","804.60K","2.45%"
"01/06/2023","0.681","0.735","0.735","0.680","415.67K","-6.08%"
"01/05/2023","0.725","0.800","0.820","0.720","606.36K","-10.05%"
"01/04/2023","0.806","0.711","0.820","0.711","598.62K","12.76%"
"01/03/2023","0.715","0.666","0.748","0.666","253.20K","7.41%"
"12/30/2022","0.666","0.622","0.739","0.622","502.73K","4.54%"
"12/29/2022","0.637","0.594","0.650","0.594","294.84K","7.15%"
"12/28/2022","0.594","0.679","0.700","0.580","804.14K","-13.38%"
"12/27/2022","0.686","0.750","0.760","0.651","910.59K","-11.35%"
"12/23/2022","0.774","0.610","0.835","0.610","1.80M","24.23%"
"12/22/2022","0.623","0.610","0.640","0.553","748.60K","5.59%"
"12/21/2022","0.590","0.580","0.610","0.550","1.07M","1.55%"
"12/20/2022","0.581","0.578","0.609","0.550","917.99K","0.96%"
"12/19/2022","0.575","0.617","0.640","0.565","340.72K","-6.83%"
"12/16/2022","0.618","0.640","0.640","0.583","1.40M","3.62%"
"12/15/2022","0.596","0.675","0.685","0.580","1.40M","-7.74%"
"12/14/2022","0.646","0.692","0.695","0.630","1.37M","-7.58%"
"12/13/2022","0.699","0.900","0.900","0.660","2.37M","-13.16%"
"12/12/2022","0.805","0.660","0.920","0.650","3.04M","-33.48%"
"12/09/2022","1.210","1.040","1.230","0.953","1.24M","17.48%"
"12/08/2022","1.030","0.850","1.070","0.830","1.44M","27.13%"
"12/07/2022","0.810","0.890","0.920","0.803","290.51K","-10.60%"
"12/06/2022","0.906","0.843","0.927","0.760","954.65K","16.46%"
"12/05/2022","0.778","0.890","0.930","0.760","287.98K","-12.60%"
"12/02/2022","0.890","0.820","0.935","0.780","297.25K","14.46%"
"12/01/2022","0.778","0.840","0.850","0.770","133.82K","-6.28%"
"11/30/2022","0.830","0.706","0.887","0.706","462.92K","14.04%"
"11/29/2022","0.728","0.830","0.851","0.720","368.69K","-7.90%"
"11/28/2022","0.790","0.865","1.090","0.745","437.33K","-11.35%"
"11/25/2022","0.891","0.950","0.960","0.830","141.57K","-3.88%"
"11/23/2022","0.927","0.727","0.970","0.680","499.44K","33.59%"
"11/22/2022","0.694","0.847","0.847","0.656","680.65K","-16.59%"
"11/21/2022","0.832","0.960","0.974","0.820","360.15K","-13.36%"
"11/18/2022","0.961","1.170","1.170","0.930","457.60K","-14.23%"
"11/17/2022","1.120","1.080","1.130","1.060","106.16K","-5.88%"
"11/16/2022","1.190","1.210","1.210","1.070","195.52K","-4.03%"
"11/15/2022","1.240","1.160","1.250","1.150","230.16K","6.90%"
"11/14/2022","1.160","1.050","1.290","1.030","224.22K","0.87%"
"11/11/2022","1.150","0.890","1.190","0.887","616.96K","26.37%"
"11/10/2022","0.910","0.927","0.974","0.889","289.31K","12.30%"
"11/09/2022","0.810","1.010","1.010","0.800","532.67K","-19.77%"
"11/08/2022","1.010","1.070","1.090","0.990","328.31K","-5.61%"
"11/07/2022","1.070","1.120","1.125","1.050","125.86K","-2.73%"
"11/04/2022","1.100","1.080","1.110","1.050","162.96K","1.85%"
"11/03/2022","1.080","1.120","1.120","1.050","126.33K","0.00%"
"11/02/2022","1.080","1.120","1.150","1.070","494.36K","-3.57%"
"11/01/2022","1.120","1.160","1.200","1.110","237.25K","-1.75%"
"10/31/2022","1.140","1.130","1.170","1.130","207.72K","-5.00%"
"10/28/2022","1.200","1.200","1.200","1.115","237.38K","-4.00%"
"10/27/2022","1.250","1.410","1.410","1.163","483.54K","-10.71%"
"10/26/2022","1.400","1.400","1.480","1.350","465.63K","-0.71%"
"10/25/2022","1.410","1.270","1.410","1.180","249.34K","11.02%"
"10/24/2022","1.270","1.220","1.280","1.180","160.97K","4.96%"
